Node,Betweenness Centrality
P1-T020,0.0
P1-T004,0.0
P1-T061,0.0
P1-T019,0.0
P1-T025,0.0
P1-T021,0.0
P1-T001,0.0
P1-T022,0.0
P1-T008,0.0
P1-T038,0.0
P1-T023,0.0
P1-T026,0.15942028985507248
P1-T005,0.0
P1-T041,0.08333333333333333
P1-T049,0.0
P1-T079,0.0
P1-T062,0.0
P1-T081,0.0
P1-T042,0.0
P1-T037,0.0
P1-T036,0.0
P1-T035,0.0
P1-T048,0.0
P1-T033,0.0
P1-T057,0.0
